詩經韻腳字,上古韻部,廣韻字頭,中古韻部,中原音韻字頭,近代韻部
處,上古：魚,鍾,中古：鍾,��,近代：江陽
俁,上古：魚,鐘,中古：鍾,傍,近代：江陽
舞,上古：魚,蚣,中古：鍾,房,近代：江陽
虎,上古：魚,忪,中古：鍾,旁,近代：江陽
組,上古：魚,䇗,中古：鍾,龐,近代：江陽
鑰,上古：藥,蹱,中古：鍾,逄,近代：江陽
翟,上古：藥,彸,中古：鍾,房,近代：江陽
爵,上古：藥,衳,中古：鍾,防,近代：江陽
榛,上古：真,伀,中古：鍾,長,近代：江陽
苓,上古：真,橦,中古：鍾,黃,近代：江陽
人,上古：真,籦,中古：鍾,萇,近代：江陽
人,上古：真,妐,中古：鍾,腸,近代：江陽
人,上古：真,㕬,中古：鍾,場,近代：江陽
淇,上古：之,𧢸,中古：鍾,常,近代：江陽
思,上古：之,炂,中古：鍾,裳,近代：江陽
姬,上古：之,𦬘,中古：鍾,嚐,近代：江陽
謀,上古：之,𨳗,中古：鍾,償,近代：江陽
泲,上古：脂,鈆,中古：鍾,唐,近代：江陽
禰,上古：脂,龍,中古：鍾,搪,近代：江陽
弟,上古：脂,𪚝,中古：鍾,塘,近代：江陽
姊,上古：脂,躘,中古：鍾,糖,近代：江陽
幹,上古：元,鸗,中古：鍾,堂,近代：江陽
言,上古：元,驡,中古：鍾,棠,近代：江陽
舝,上古：月,𪚠,中古：鍾,詳,近代：江陽
邁,上古：月,籠,中古：鍾,祥,近代：江陽
衛,上古：月,𦪽,中古：鍾,翔,近代：江陽
害,上古：月,蘢,中古：鍾,牆,近代：江陽
泉,上古：元,舂,中古：鍾,檣,近代：江陽
歎,上古：元,𧐍,中古：鍾,嬙,近代：江陽
漕,上古：幽,摏,中古：鍾,䨦,近代：江陽
悠,上古：幽,蹖,中古：鍾,��,近代：江陽
遊,上古：幽,𪄻,中古：鍾,艎,近代：江陽
憂,上古：幽,憃,中古：鍾,潢,近代：江陽
門,上古：文,松,中古：鍾,篁,近代：江陽
殷,上古：文,㮤,中古：鍾,簧,近代：江陽
貧,上古：文,凇,中古：鍾,鰉,近代：江陽
艱,上古：文,訟,中古：鍾,蝗,近代：江陽
為,上古：歌,𧘂,中古：鍾,皇,近代：江陽
何,上古：歌,衝,中古：鍾,凰,近代：江陽
適,上古：錫,罿,中古：鍾,惶,近代：江陽
益,上古：錫,憧,中古：鍾,遑,近代：江陽
謫,上古：錫,䡴,中古：鍾,隍,近代：江陽
為,上古：歌,艟,中古：鍾,藏,近代：江陽
何,上古：歌,潼,中古：鍾,强,近代：江陽
敦,上古：文,褈,中古：鍾,強,近代：江陽
遺,上古：微,𠟍,中古：鍾,降,近代：江陽
摧,上古：微,𠝤,中古：鍾,王,近代：江陽
為,上古：歌,䂌,中古：鍾,狂,近代：江陽
何,上古：歌,容,中古：鍾,囊,近代：江陽
涼,上古：陽,溶,中古：鍾,講,近代：江陽
雱,上古：陽,滽,中古：鍾,港,近代：江陽
行,上古：陽,庸,中古：鍾,鏹,近代：江陽
邪,上古：魚,𦤘,中古：鍾,養,近代：江陽
且,上古：魚,𧴄,中古：鍾,痒,近代：江陽
喈,上古：脂,㺎,中古：鍾,鞅,近代：江陽
霏,上古：微,𤛑,中古：鍾,蔣,近代：江陽
歸,上古：微,墉,中古：鍾,獎,近代：江陽
邪,上古：魚,鎔,中古：鍾,槳,近代：江陽
且,上古：魚,鏞,中古：鍾,兩,近代：江陽
狐,上古：魚,銿,中古：鍾,魎,近代：江陽
烏,上古：魚,鄘,中古：鍾,想,近代：江陽
車,上古：魚,傭,中古：鍾,鮝,近代：江陽
邪,上古：魚,𪅟,中古：鍾,蟒,近代：江陽
且,上古：魚,㼸,中古：鍾,莽,近代：江陽
姝,上古：侯,𤮇,中古：鍾,漭,近代：江陽
隅,上古：侯,鱅,中古：鍾,爽,近代：江陽
躕,上古：侯,蓉,中古：鍾,漺,近代：江陽
孌,上古：元,䗤,中古：鍾,響,近代：江陽
管,上古：元,傛,中古：鍾,蠁,近代：江陽
煒,上古：微,褣,中古：鍾,享,近代：江陽
美,上古：脂,搈,中古：鍾,饗,近代：江陽
荑,上古：脂,瑢,中古：鍾,夯,近代：江陽
異,上古：職,䈶,中古：鍾,敞,近代：江陽
美,上古：脂,嵱,中古：鍾,氅,近代：江陽
貽,上古：之,頌,中古：鍾,昶,近代：江陽
